qualified_name,type,category,file_path,line_start,line_end,description,inputs,outputs,raises,dependencies,side_effects,idempotency,async,stability,tests,notes
automation.batch_report_runner_daily:_normalize_row,function,Tools,automation/batch_report_runner_daily.py,54,55,Implements `_normalize_row`.,"row:Dict[str, Any] (required)","return: Dict[str, Any]",none,isinstance; row.items; str; str(k).strip; v.strip,none,unknown,false,stable,not found,
automation.batch_report_runner_daily:read_natal_csv,function,Tools,automation/batch_report_runner_daily.py,58,64,Implements `read_natal_csv`.,csv_path:Path (required),"return: List[Dict[str, Any]]; side_effects: filesystem",ValueError('CSV has no header row'),ValueError; _normalize_row; csv.DictReader; csv_path.open,filesystem,non-idempotent,false,stable,not found,
automation.batch_report_runner_daily:validate_required_columns,function,Tools,automation/batch_report_runner_daily.py,67,73,Implements `validate_required_columns`.,"rows:Iterable[Dict[str, Any]] (required)",return: None,"ValueError('CSV has no data rows'); ValueError(f""CSV missing required columns: {', '.join(missing)}"")","', '.join; ValueError",none,unknown,false,stable,not found,
automation.batch_report_runner_daily:build_timeline_request,function,Tools,automation/batch_report_runner_daily.py,76,81,Implements `build_timeline_request`.,"row:Dict[str, Any] (required)",return: TimelineRequest; side_effects: network,none,TimelineRequest; _parse_float; dict; payload.get; row.get,network,non-idempotent,false,stable,not found,
automation.batch_report_runner_daily:run_batch,function,Tools,automation/batch_report_runner_daily.py,84,145,Implements `run_batch`.,csv_path:Path (required); output_dir:Path (required); send_email_ind:bool=False (optional),"return: List[BatchRowResult]; side_effects: db, email, filesystem, logging, network",none,"'__'.join; BatchRowResult; _safe_filename; build_timeline_request; chr; dailyWeeklyTimeline; datetime.strptime; datetime.strptime(row.get('reportStartDate', ''), '%Y-%m-%d').strftime; enumerate; out_path.write_text; output.shortSummary.replace; output_dir.mkdir; print; read_natal_csv; render_basic_forecast_html_daily; req.model_copy; results.append; row.get; send_email; str","db, email, filesystem, logging, network",non-idempotent,false,risky,not found,Risk: broad exception catch
automation.batch_report_runner_daily:write_sample_csv,function,Tools,automation/batch_report_runner_daily.py,148,178,Implements `write_sample_csv`.,sample_csv_path:Path (required),return: None; side_effects: filesystem,none,csv.DictWriter; list; sample_csv_path.open; sample_csv_path.parent.mkdir; writer.writeheader; writer.writerows,filesystem,non-idempotent,false,stable,not found,
automation.batch_report_runner_daily:main,function,Tools,automation/batch_report_runner_daily.py,181,235,Docstring for main,argv:Optional[List[str]]=None (optional),"return: int; side_effects: email, logging",none,Path; Path(__file__).with_name; argparse.ArgumentParser; len; parser.add_argument; parser.error; parser.parse_args; print; run_batch; sum; write_sample_csv,"email, logging",non-idempotent,false,stable,found,
automation.batch_report_runner_full:_safe_filename,function,Tools,automation/batch_report_runner_full.py,38,41,Implements `_safe_filename`.,value:str (required),return: str,none,''.join; ch.isalnum; cleaned.strip; value.strip,none,unknown,false,stable,not found,
automation.batch_report_runner_full:_parse_float,function,Tools,automation/batch_report_runner_full.py,44,50,Implements `_parse_float`.,value:Any (required),return: float,ValueError('missing'),ValueError; float; str; str(value).strip,none,unknown,false,stable,not found,
automation.batch_report_runner_full:_normalize_row,function,Tools,automation/batch_report_runner_full.py,53,54,Implements `_normalize_row`.,"row:Dict[str, Any] (required)","return: Dict[str, Any]",none,isinstance; row.items; str; str(k).strip; v.strip,none,unknown,false,stable,not found,
automation.batch_report_runner_full:read_natal_csv,function,Tools,automation/batch_report_runner_full.py,57,63,Implements `read_natal_csv`.,csv_path:Path (required),"return: List[Dict[str, Any]]; side_effects: filesystem",ValueError('CSV has no header row'),ValueError; _normalize_row; csv.DictReader; csv_path.open,filesystem,non-idempotent,false,stable,not found,
automation.batch_report_runner_full:validate_required_columns,function,Tools,automation/batch_report_runner_full.py,66,72,Implements `validate_required_columns`.,"rows:Iterable[Dict[str, Any]] (required)",return: None,"ValueError('CSV has no data rows'); ValueError(f""CSV missing required columns: {', '.join(missing)}"")","', '.join; ValueError",none,unknown,false,stable,not found,
automation.batch_report_runner_full:build_timeline_request,function,Tools,automation/batch_report_runner_full.py,75,80,Implements `build_timeline_request`.,"row:Dict[str, Any] (required)",return: TimelineRequest; side_effects: network,none,TimelineRequest; _parse_float; dict; payload.get; row.get,network,non-idempotent,false,stable,not found,
automation.batch_report_runner_full:generate_report_for_row,function,Tools,automation/batch_report_runner_full.py,83,101,Implements `generate_report_for_row`.,req:TimelineRequest (required); lang_code:str='en' (optional),return: str; side_effects: s3,none,report_services.generate_report_pdf,s3,non-idempotent,false,stable,not found,
automation.batch_report_runner_full:run_batch,function,Tools,automation/batch_report_runner_full.py,104,150,Implements `run_batch`.,csv_path:Path (required); output_dir:Path (required); send_email_ind:bool=False (optional),"return: List[BatchRowResult]; side_effects: email, filesystem, logging, network",none,'__'.join; BatchRowResult; _safe_filename; build_timeline_request; enumerate; generate_report_for_row; json.dumps; out_path.write_text; output_dir.mkdir; print; read_natal_csv; results.append; row.get; send_email; str; validate_required_columns,"email, filesystem, logging, network",non-idempotent,false,risky,not found,Risk: broad exception catch
automation.batch_report_runner_full:write_sample_csv,function,Tools,automation/batch_report_runner_full.py,153,183,Implements `write_sample_csv`.,sample_csv_path:Path (required),return: None; side_effects: filesystem,none,csv.DictWriter; list; sample_csv_path.open; sample_csv_path.parent.mkdir; writer.writeheader; writer.writerows,filesystem,non-idempotent,false,stable,not found,
automation.batch_report_runner_full:main,function,Tools,automation/batch_report_runner_full.py,186,240,Docstring for main,argv:Optional[List[str]]=None (optional),"return: int; side_effects: email, logging",none,Path; Path(__file__).with_name; argparse.ArgumentParser; len; parser.add_argument; parser.error; parser.parse_args; print; run_batch; sum; write_sample_csv,"email, logging",non-idempotent,false,stable,found,
automation.batch_report_runner_weekly:_safe_filename,function,Tools,automation/batch_report_runner_weekly.py,39,42,Implements `_safe_filename`.,value:str (required),return: str,none,''.join; ch.isalnum; cleaned.strip; value.strip,none,unknown,false,stable,not found,
automation.batch_report_runner_weekly:_parse_float,function,Tools,automation/batch_report_runner_weekly.py,45,51,Implements `_parse_float`.,value:Any (required),return: float,ValueError('missing'),ValueError; float; str; str(value).strip,none,unknown,false,stable,not found,
automation.batch_report_runner_weekly:_normalize_row,function,Tools,automation/batch_report_runner_weekly.py,54,55,Implements `_normalize_row`.,"row:Dict[str, Any] (required)","return: Dict[str, Any]",none,isinstance; row.items; str; str(k).strip; v.strip,none,unknown,false,stable,not found,
automation.batch_report_runner_weekly:read_natal_csv,function,Tools,automation/batch_report_runner_weekly.py,58,64,Implements `read_natal_csv`.,csv_path:Path (required),"return: List[Dict[str, Any]]; side_effects: filesystem",ValueError('CSV has no header row'),ValueError; _normalize_row; csv.DictReader; csv_path.open,filesystem,non-idempotent,false,stable,not found,
automation.batch_report_runner_weekly:validate_required_columns,function,Tools,automation/batch_report_runner_weekly.py,67,73,Implements `validate_required_columns`.,"rows:Iterable[Dict[str, Any]] (required)",return: None,"ValueError('CSV has no data rows'); ValueError(f""CSV missing required columns: {', '.join(missing)}"")","', '.join; ValueError",none,unknown,false,stable,not found,
automation.batch_report_runner_weekly:build_timeline_request,function,Tools,automation/batch_report_runner_weekly.py,76,81,Implements `build_timeline_request`.,"row:Dict[str, Any] (required)",return: TimelineRequest; side_effects: network,none,TimelineRequest; _parse_float; dict; payload.get; row.get,network,non-idempotent,false,stable,not found,
automation.batch_report_runner_weekly:run_batch,function,Tools,automation/batch_report_runner_weekly.py,84,141,Implements `run_batch`.,csv_path:Path (required); output_dir:Path (required); send_email_ind:bool=False (optional),"return: List[BatchRowResult]; side_effects: db, email, filesystem, logging, network",none,'__'.join; BatchRowResult; _safe_filename; build_timeline_request; chr; dailyWeeklyTimeline; datetime.now; datetime.now().strftime; enumerate; out_path.write_text; output.shortSummary.replace; output_dir.mkdir; print; read_natal_csv; render_basic_forecast_html_weekly; req.model_copy; results.append; row.get; send_email; str,"db, email, filesystem, logging, network",non-idempotent,false,risky,not found,Risk: broad exception catch
automation.batch_report_runner_weekly:write_sample_csv,function,Tools,automation/batch_report_runner_weekly.py,144,174,Implements `write_sample_csv`.,sample_csv_path:Path (required),return: None; side_effects: filesystem,none,csv.DictWriter; list; sample_csv_path.open; sample_csv_path.parent.mkdir; writer.writeheader; writer.writerows,filesystem,non-idempotent,false,stable,not found,
automation.batch_report_runner_weekly:main,function,Tools,automation/batch_report_runner_weekly.py,177,231,Docstring for main,argv:Optional[List[str]]=None (optional),"return: int; side_effects: email, logging",none,Path; Path(__file__).with_name; argparse.ArgumentParser; len; parser.add_argument; parser.error; parser.parse_args; print; run_batch; sum; write_sample_csv,"email, logging",non-idempotent,false,stable,found,
main:_load_openapi_schema,function,API,main.py,27,29,Implements `_load_openapi_schema`.,none,return: Any; side_effects: filesystem,none,OPENAPI_SPEC_PATH.open; lru_cache; yaml.safe_load,filesystem,non-idempotent,false,stable,not found,
main:lifespan,function,API,main.py,33,38,Implements `lifespan`.,app:FastAPI (required),return: unknown; side_effects: logging,none,print,logging,idempotent,true,stable,not found,
main:_custom_openapi,function,API,main.py,49,61,Implements `_custom_openapi`.,none,return: Any; side_effects: logging,none,_load_openapi_schema; get_openapi; print,logging,idempotent,false,stable,not found,
main:on_http_exception,function,API,main.py,84,106,Implements `on_http_exception`.,request:Request (required); exc:StarletteHTTPException (required),return: unknown,none,ErrorEnvelope; ErrorResponse; ErrorResponse(error=err).model_dump; JSONResponse; app.exception_handler; getattr; int; isinstance; str,none,unknown,true,stable,not found,
main:on_validation_error,function,API,main.py,110,119,Implements `on_validation_error`.,request:Request (required); exc:RequestValidationError (required),return: unknown,none,ErrorDetail; ErrorEnvelope; ErrorResponse; ErrorResponse(error=err).model_dump; JSONResponse; app.exception_handler; str,none,unknown,true,stable,not found,
main:on_any_error,function,API,main.py,123,128,Implements `on_any_error`.,request:Request (required); exc:Exception (required),return: unknown,none,ErrorEnvelope; ErrorResponse; ErrorResponse(error=err).model_dump; JSONResponse; app.exception_handler; str,none,unknown,true,stable,not found,
main:landing,function,API,main.py,131,132,Implements `landing`.,none,return: unknown,none,app.get; dt.datetime.utcnow; dt.datetime.utcnow().isoformat,none,unknown,true,stable,not found,
main:healthz,function,API,main.py,136,137,Implements `healthz`.,none,return: unknown,none,app.get; dt.datetime.utcnow; dt.datetime.utcnow().isoformat,none,unknown,true,stable,not found,
main:readyz,function,API,main.py,141,143,Implements `readyz`.,none,return: unknown,none,app.get,none,unknown,true,stable,not found,
middleware:RequestIDMiddleware.__init__,method,API,middleware.py,10,12,Implements `RequestIDMiddleware.__init__`.,app:Any (required); header_name:str='X-Request-ID' (optional),return: unknown,none,super; super().__init__,none,unknown,false,stable,found,
middleware:RequestIDMiddleware.dispatch,method,API,middleware.py,14,20,Implements `RequestIDMiddleware.dispatch`.,request:Request (required); call_next:Callable (required),return: unknown; side_effects: network,none,call_next; request.headers.get; str; uuid.uuid4,network,non-idempotent,true,stable,not found,
middleware:LoggingMiddleware.__init__,method,API,middleware.py,24,26,Implements `LoggingMiddleware.__init__`.,app:Any (required); mode:str='basic' (optional),return: unknown,none,super; super().__init__,none,unknown,false,stable,found,
middleware:LoggingMiddleware.dispatch,method,API,middleware.py,28,47,Implements `LoggingMiddleware.dispatch`.,request:Request (required); call_next:Callable (required),"return: unknown; side_effects: logging, network",none,call_next; getattr; print; request.headers.get; time.perf_counter,"logging, network",non-idempotent,true,risky,not found,Risk: broad exception catch
report_services:compute_life_events,function,Core,report_services.py,20,106,Compute upcoming life events using transit-to-natal aspect windows.,payload:BirthPayload (required); start_date:Optional[dt.date]=None (optional); horizon_days:int=180 (optional); sample_step_hours:int=6 (optional); limit:int=50 (optional),"return: List[LifeEvent]; side_effects: logging, network",none,"', '.join; ASPECT_CODE_MAP.get; LifeEvent; PLANET_CODE_MAP.get; a.upper; anchor.isoformat; calc_aspect_periods; data.append; dt.date.today; dt.timedelta; end.isoformat; get_card_fields; isinstance; n.upper; p.end_dt.date; p.end_dt.date().isoformat; p.exact_dt.date; p.exact_dt.date().isoformat; p.start_dt.date; p.start_dt.date().isoformat","logging, network",non-idempotent,false,risky,not found,Risk: broad exception catch; large function >80 LOC
report_services:compute_timeline,function,Core,report_services.py,109,216,Build timeline items and summary for the given request.,req:TimelineRequest (required),"return: TimelineData; side_effects: logging, network",none,ASPECT_CODE_MAP.get; PLANET_CODE_MAP.get; TimelineData; TimelineItem; a.upper; acts.items; calc_aspect_periods; dt.date.fromisoformat; dt.timedelta; end.isoformat; facets.items; fields.get; get_card_fields; hi.get; isinstance; items.append; len; loc.get; n.upper; p.end_dt.isoformat,"logging, network",non-idempotent,false,risky,not found,Risk: broad exception catch; large function >80 LOC; silent exception handling
report_services:dailyWeeklyTimeline,function,Core,report_services.py,218,251,Build daily/weekly summary for the given request.,req:TimelineRequest (required),return: DailyWeeklyData; side_effects: logging,none,DailyWeeklyData; compute_timeline; dt.date.today; existing.append; existing.extend; isinstance; item.facets_points.items; len; print; today.isoformat,logging,idempotent,false,stable,not found,
reporting.builders.appendix:build_appendix_story,function,Core,reporting/builders/appendix.py,13,88,Implements `build_appendix_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, any] (required); overflow:Dict[str, List[str]] | None=None (optional)",return: List,none,Paragraph; Spacer; lang_for_text; overflow.items; section_header; section_title; story.append; t,none,unknown,false,stable,not found,
reporting.builders.cover:build_cover_story,function,Core,reporting/builders/cover.py,16,74,Implements `build_cover_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, any] (required)",return: List,none,Paragraph; Spacer; Table; TableStyle; fmt_date; lang_for_text; parse_iso_datetime; report_title_key; section_title; story.append; t; tbl.setStyle; to_local,none,unknown,false,stable,not found,
reporting.builders.dashboard:_area_bullets,function,Core,reporting/builders/dashboard.py,23,46,Implements `_area_bullets`.,area_value:Any (required); config:ReportConfig (required),"return: Tuple[List[str], List[str]]; side_effects: network",none,_coerce; area_value.get; area_value.strip; isinstance; s.strip; str; str(x).strip; v.split; v.strip,network,non-idempotent,false,stable,not found,
reporting.builders.dashboard:_truncate,function,Core,reporting/builders/dashboard.py,49,53,Implements `_truncate`.,text:str (required); max_chars:int (required),return: str,none,len; s[:max_chars - 1].rstrip; text or ''.strip,none,unknown,false,stable,not found,
reporting.builders.dashboard:_has_text,function,Core,reporting/builders/dashboard.py,56,60,Implements `_has_text`.,value:Any (required); config:ReportConfig (required),return: bool,none,bool; get_lang_text; txt.strip,none,unknown,false,stable,not found,
reporting.builders.dashboard:_score_by_area,function,Core,reporting/builders/dashboard.py,63,80,Implements `_score_by_area`.,items:List[Any] (required); config:ReportConfig (required),"return: Dict[str, Tuple[int, int]]; side_effects: network",none,"_has_text; facets.get; getattr; isinstance; str; str(getattr(it, 'aspectNature', '')).strip; str(getattr(it, 'aspectNature', '')).strip().lower",network,non-idempotent,false,stable,not found,
reporting.builders.dashboard:build_dashboard_story,function,Core,reporting/builders/dashboard.py,83,161,Implements `build_dashboard_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, any] (required)",return: List; side_effects: network,none,Paragraph; Spacer; Table; TableStyle; _area_bullets; _score_by_area; _truncate; areas.get; card.setStyle; card_lines.append; cards.append; grid.setStyle; lang_for_text; len; score_map.get; section_header; section_title; smart_no_orphan_last_word; story.append; str,network,non-idempotent,false,stable,not found,
reporting.builders.key_moments:_advice_from_keypoints,function,Core,reporting/builders/key_moments.py,24,39,Implements `_advice_from_keypoints`.,key_points:Any (required); config:ReportConfig (required),return: str; side_effects: network,none,get_lang_text; isinstance; key_points.get; str; str(raw[0]).strip; txt.split; txt.split('\n')[0].strip,network,non-idempotent,false,stable,not found,
reporting.builders.key_moments:build_key_moments_story,function,Core,reporting/builders/key_moments.py,42,90,Implements `build_key_moments_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, any] (required)",return: List,none,Paragraph; Spacer; Table; TableStyle; _advice_from_keypoints; aspect_is_challenging; aspect_is_positive; fmt_dt; getattr; items.sort; lang_for_text; list; parse_iso_date; parse_iso_datetime; rows.append; section_header; section_title; smart_no_orphan_last_word; story.append; str,none,unknown,false,stable,not found,
reporting.builders.milestones:_humanize_transit_window,function,Core,reporting/builders/milestones.py,42,54,Implements `_humanize_transit_window`.,text:str (required),return: str; side_effects: network,none,"ASPECT_MAP.get; PLANET_MAP.get; asp.lower; asp.upper; core.split; len; p1.upper; p2.upper; s.endswith; s.replace; s.replace('transit window', '').strip; text.strip",network,non-idempotent,false,stable,not found,
reporting.builders.milestones:build_milestones_story,function,Core,reporting/builders/milestones.py,57,174,Implements `build_milestones_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, Any] (required); report_id:str | None=None (optional)",return: List; side_effects: logging,none,KeepTogether; Paragraph; Spacer; Table; TableStyle; _humanize_transit_window; buckets.keys; buckets[year].append; card.setStyle; defaultdict; desc_lines[0].strip; desc_text.lower; desc_text.split; desc_text.strip; filtered.append; fmt_date; get_lang_text; header.strip; lang_for_text; len,logging,idempotent,false,risky,not found,Risk: broad exception catch; large function >80 LOC
reporting.builders.summary:build_summary_story,function,Core,reporting/builders/summary.py,18,62,Implements `build_summary_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, any] (required)",return: List,none,Paragraph; Spacer; Table; TableStyle; _action_from_item; _best_time_from_items; _first_with_nature; _headline_from_item; _rank_timeline_items; _truncate; box.setStyle; bullet_lines.append; bullets.append; lang_for_text; min; section_header; section_title; smart_no_orphan_last_word; story.append; t,none,unknown,false,stable,not found,
reporting.builders.summary:_truncate,function,Core,reporting/builders/summary.py,65,69,Implements `_truncate`.,text:str (required); max_chars:int (required),return: str,none,len; s[:max_chars - 1].rstrip; text or ''.strip,none,unknown,false,stable,not found,
reporting.builders.summary:_nature_weight,function,Core,reporting/builders/summary.py,72,78,Implements `_nature_weight`.,nature:Optional[str] (required),return: int,none,str; str(nature).strip; str(nature).strip().lower,none,unknown,false,stable,not found,
reporting.builders.summary:_rank_timeline_items,function,Core,reporting/builders/summary.py,81,99,Implements `_rank_timeline_items`.,items:Sequence[Any] (required); config:ReportConfig (required),return: List[Any],none,_desc_present; _exact_dt; _nature_weight; datetime.max.replace; get_lang_text; getattr; parse_iso_datetime; sorted; text.strip,none,unknown,false,stable,not found,
reporting.builders.summary:_first_with_nature,function,Core,reporting/builders/summary.py,102,106,Implements `_first_with_nature`.,items:Sequence[Any] (required); nature:str (required),return: Optional[Any],none,"getattr; str; str(getattr(it, 'aspectNature', '')).strip; str(getattr(it, 'aspectNature', '')).strip().lower",none,unknown,false,stable,not found,
reporting.builders.summary:_headline_from_item,function,Core,reporting/builders/summary.py,109,117,Implements `_headline_from_item`.,item:Optional[Any] (required); config:ReportConfig (required); lang:str (required),return: str,none,get_lang_text; getattr; text.split; text.split('.')[0].strip; text.strip,none,unknown,false,stable,not found,
reporting.builders.summary:_action_from_item,function,Core,reporting/builders/summary.py,120,136,Implements `_action_from_item`.,item:Optional[Any] (required); config:ReportConfig (required); lang:str (required),return: str; side_effects: network,none,_truncate; get_lang_text; getattr; isinstance; key_points.get; str; str(raw[0]).strip; text.split; text.split('\n')[0].strip,network,non-idempotent,false,stable,not found,
reporting.builders.summary:_best_time_from_items,function,Core,reporting/builders/summary.py,139,149,Implements `_best_time_from_items`.,items:Sequence[Any] (required); config:ReportConfig (required); lang:str (required),return: str,none,fmt_dt; getattr; parse_iso_datetime; to_local,none,unknown,false,stable,not found,
reporting.builders.timeline:_badge_for_nature,function,Core,reporting/builders/timeline.py,29,37,Implements `_badge_for_nature`.,nature:str | None (required),"return: Tuple[Any, Any, str]",none,str; str(nature).strip; str(nature).strip().lower,none,unknown,false,stable,not found,
reporting.builders.timeline:_truncate,function,Core,reporting/builders/timeline.py,40,45,Deterministic truncation; approximates 4-line constraint.,text:str (required); max_chars:int=420 (optional),return: str,none,len; s[:max_chars - 1].rstrip; text or ''.strip,none,unknown,false,stable,not found,
reporting.builders.timeline:_truncate_short,function,Core,reporting/builders/timeline.py,48,52,Implements `_truncate_short`.,text:str (required); max_chars:int (required),return: str,none,len; s[:max_chars - 1].rstrip; text or ''.strip,none,unknown,false,stable,not found,
reporting.builders.timeline:_action_bullets,function,Core,reporting/builders/timeline.py,55,74,Implements `_action_bullets`.,key_points:Any (required); config:ReportConfig (required),return: List[str]; side_effects: network,none,get_lang_text; isinstance; key_points.get; str; str(x).strip; text.split; x.strip,network,non-idempotent,false,stable,not found,
reporting.builders.timeline:_action_first,function,Core,reporting/builders/timeline.py,77,79,Implements `_action_first`.,key_points:Any (required); config:ReportConfig (required),return: str,none,_action_bullets,none,unknown,false,stable,not found,
reporting.builders.timeline:_facet_bullets,function,Core,reporting/builders/timeline.py,82,106,Implements `_facet_bullets`.,facets:Any (required); config:ReportConfig (required),return: List[str]; side_effects: network,none,facets.get; get_lang_text; isinstance; lang_for_text; len; out.append,network,non-idempotent,false,stable,not found,
reporting.builders.timeline:_facet_tags,function,Core,reporting/builders/timeline.py,109,129,Implements `_facet_tags`.,facets:Any (required); config:ReportConfig (required),return: List[str]; side_effects: network,none,facets.get; get_lang_text; isinstance; lang_for_text; len; out.append; txt.strip,network,non-idempotent,false,stable,not found,
reporting.builders.timeline:_is_empty_item,function,Core,reporting/builders/timeline.py,132,143,Implements `_is_empty_item`.,item:TimelineItem (required); config:ReportConfig (required),return: bool,none,"_action_bullets; bool; get_lang_text; get_lang_text(item.description, preferred=preferred, fallback=fallback).strip; pick_keywords",none,unknown,false,stable,not found,
reporting.builders.timeline:_timeline_card,function,Core,reporting/builders/timeline.py,146,240,Implements `_timeline_card`.,"item:TimelineItem (required); config:ReportConfig (required); styles:Dict[str, Any] (required)",return: KeepTogether,none,'  • '.join; KeepTogether; Paragraph; Spacer; Table; TableStyle; _action_bullets; _badge_for_nature; _facet_bullets; _fmt_dt; _truncate; badge.setStyle; card.setStyle; fmt_dt; get_lang_text; header_row.setStyle; lang_for_text; parse_iso_datetime; pick_keywords; smart_no_orphan_last_word,none,unknown,false,risky,not found,Risk: large function >80 LOC
reporting.builders.timeline:_timeline_card_compact,function,Core,reporting/builders/timeline.py,243,314,Implements `_timeline_card_compact`.,"item:TimelineItem (required); config:ReportConfig (required); styles:Dict[str, Any] (required)",return: KeepTogether,none,' • '.join; KeepTogether; Paragraph; Spacer; Table; TableStyle; _action_first; _badge_for_nature; _facet_tags; _fmt_dt; _truncate_short; badge.setStyle; card.setStyle; desc.split; desc.split('.')[0].strip; fmt_dt; get_lang_text; header_row.setStyle; lang_for_text; parse_iso_datetime,none,unknown,false,stable,not found,
reporting.builders.timeline:build_timeline_story,function,Core,reporting/builders/timeline.py,317,389,Implements `build_timeline_story`.,"data:ReportJson (required); config:ReportConfig (required); styles:Dict[str, Any] (required); report_id:str | None=None (optional)",return: List; side_effects: logging,none,Paragraph; Spacer; _is_empty_item; _timeline_card; _timeline_card_compact; datetime.max.replace; filtered.append; getattr; items.sort; lang_for_text; len; logger.exception; logger.info; parse_iso_datetime; print; section_header; section_title; story.append; str; t,logging,idempotent,false,risky,not found,Risk: broad exception catch
reporting.cli:main,function,Tools,reporting/cli.py,12,33,Implements `main`.,argv:Optional[list[str]]=None (optional),return: int; side_effects: logging,none,ReportConfig; argparse.ArgumentParser; args.input.read_text; generate_report_pdf; json.loads; load_config_from_yaml; parser.add_argument; parser.parse_args; print; str,logging,idempotent,false,stable,found,
reporting.components:section_header,function,Core,reporting/components.py,10,26,Create a consistent section header with an accent strip.,"title:str (required); styles:Dict[str, any] (required)",return: Table,none,Paragraph; Table; TableStyle; tbl.setStyle,none,unknown,false,stable,not found,
reporting.i18n:t,function,Core,reporting/i18n.py,90,92,Implements `t`.,key:str (required); lang:str (required),return: str; side_effects: network,none,"LABELS.get; LABELS.get(lang, LABELS['EN']).get; lang.upper",network,non-idempotent,false,stable,found,
reporting.i18n:lang_for_text,function,Core,reporting/i18n.py,95,96,Implements `lang_for_text`.,language_mode:str (required),"return: Literal['HI', 'EN']",none,none,none,unknown,false,stable,not found,
reporting.i18n:section_title,function,Core,reporting/i18n.py,99,102,Implements `section_title`.,key:str (required); config:ReportConfig (required),return: str,none,lang_for_text; t,none,unknown,false,stable,not found,
reporting.layout:NumberedCanvas.__init__,method,Core,reporting/layout.py,40,42,Implements `NumberedCanvas.__init__`.,none,return: unknown,none,super; super().__init__,none,unknown,false,stable,found,
reporting.layout:NumberedCanvas.showPage,method,Core,reporting/layout.py,44,46,Implements `NumberedCanvas.showPage`.,none,return: None,none,dict; self._saved_page_states.append; self._startPage,none,unknown,false,stable,not found,
reporting.layout:NumberedCanvas.save,method,Core,reporting/layout.py,48,54,Implements `NumberedCanvas.save`.,none,"return: None; side_effects: db, filesystem",none,Canvas.save; Canvas.showPage; len; self.__dict__.update; self.draw_page_number,"db, filesystem",non-idempotent,false,stable,not found,
reporting.layout:NumberedCanvas.draw_page_number,method,Core,reporting/layout.py,56,58,Implements `NumberedCanvas.draw_page_number`.,page_count:int (required),return: None,none,none,none,unknown,false,stable,not found,
reporting.layout:build_doc,function,Core,reporting/layout.py,61,82,Implements `build_doc`.,"output_path:str (required); on_page:Callable[[Canvas, BaseDocTemplate], None] (required)",return: BaseDocTemplate,none,BaseDocTemplate; Frame; PageTemplate; doc.addPageTemplates,none,unknown,false,stable,not found,
reporting.layout:make_header_footer_drawer,function,Core,reporting/layout.py,85,130,Implements `make_header_footer_drawer`.,ctx:LayoutContext (required); generated_local_iso:str (required),"return: Callable[[Canvas, BaseDocTemplate], None]",none,c.drawCentredString; c.drawRightString; c.drawString; c.line; c.restoreState; c.saveState; c.setFillColor; c.setFont; c.setLineWidth; c.setStrokeColor; getattr; int; lang_for_text; t,none,unknown,false,stable,not found,
reporting.layout:report_title_key,function,Core,reporting/layout.py,133,134,Implements `report_title_key`.,report_type:str (required),return: str,none,none,none,unknown,false,stable,not found,
reporting.layout:date_range_label,function,Core,reporting/layout.py,137,141,Implements `date_range_label`.,report_start:str (required); tz_name:str (required); lang:str (required),return: str,none,fmt_date; parse_iso_datetime; str; to_local,none,unknown,false,stable,not found,
reporting.normalize:parse_iso_datetime,function,Core,reporting/normalize.py,32,54,Implements `parse_iso_datetime`.,value:Any (required),return: Optional[datetime],none,"date.fromisoformat; datetime.combine; datetime.combine(d, time.min).replace; datetime.fromisoformat; dt.replace; len; s.endswith; str; str(value).strip",none,unknown,false,risky,not found,Risk: broad exception catch; silent exception handling
reporting.normalize:parse_iso_date,function,Core,reporting/normalize.py,57,59,Implements `parse_iso_date`.,value:Any (required),return: Optional[date],none,dt.date; parse_iso_datetime,none,unknown,false,stable,found,
reporting.normalize:format_date_hi,function,Core,reporting/normalize.py,62,63,Implements `format_date_hi`.,d:date (required),return: str; side_effects: network,none,HI_MONTHS.get; str,network,non-idempotent,false,stable,not found,
reporting.normalize:to_local,function,Core,reporting/normalize.py,66,68,Implements `to_local`.,dt:datetime (required); tz_name:str (required),return: datetime,none,dt.astimezone; pytz.timezone,none,unknown,false,stable,not found,
reporting.normalize:fmt_date,function,Core,reporting/normalize.py,71,76,Implements `fmt_date`.,dt:datetime (required); lang:str (required),return: str,none,d.strftime; dt.date; format_date_hi; lang.upper,none,unknown,false,stable,not found,
reporting.normalize:fmt_dt,function,Core,reporting/normalize.py,79,82,Implements `fmt_dt`.,dt:datetime (required); lang:str (required),return: str,none,dt.strftime; dt.strftime('%I:%M %p').lstrip; fmt_date,none,unknown,false,stable,not found,
reporting.normalize:safe_parse_stringified_dict,function,Core,reporting/normalize.py,85,92,Implements `safe_parse_stringified_dict`.,value:str (required),return: Any,none,ast.literal_eval; s.endswith; s.startswith; value.strip,none,unknown,false,risky,not found,Risk: broad exception catch
